,1 BCs in Sample,2 BCs in Sample,3 BCs in Sample
1 Colonies Screened,100.0,0.0,0.0
2 Colonies Screened,100.0,50.0,0.0
3 Colonies Screened,100.0,75.0,22.22222222222222
4 Colonies Screened,100.0,87.5,44.44444444444444
5 Colonies Screened,100.0,93.75,61.72839506172839
6 Colonies Screened,100.0,96.875,74.07407407407408
7 Colonies Screened,100.0,98.4375,82.57887517146777
8 Colonies Screened,100.0,99.21875,88.34019204389575
9 Colonies Screened,100.0,99.609375,92.2115531169029
10 Colonies Screened,100.0,99.8046875,94.80262155159275
11 Colonies Screened,100.0,99.90234375,96.53338752561432
12 Colonies Screened,100.0,99.951171875,97.68836051414927
